Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/30/2026,"MONTHLY SERVICE FEE",-17.50,FEE_TRANSACTION,1533.98,,
DEBIT,04/30/2026,"ORIG CO NAME:ADP Tax                ORIG ID:1223006057 DESC DATE:260430 CO ENTRY DESCR:ADP Tax   SEC:CCD    TRACE#:021000020034784 EED:260430   IND ID:L9QM5 050602A01              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       KE TRN: 1200034784TC",-1210.63,ACH_DEBIT,1551.48,,
DEBIT,04/30/2026,"Zelle payment to Cristie JPM99cf4p5yi",-483.92,CHASE_TO_PARTNERFI,2762.11,,
DEBIT,04/30/2026,"Zelle payment to Mishkan Aron 29024959034",-300.00,QUICKPAY_DEBIT,3246.03,,
DEBIT,04/30/2026,"Zelle payment to Mishkan Aron 29024976759",-250.00,QUICKPAY_DEBIT,3546.03,,
DEBIT,04/30/2026,"SHELL SERVICE STATION INWOOD NY      812156  04/30",-59.62,DEBIT_CARD,3796.03,,
DEBIT,04/30/2026,"AMAZON MKTPL*BV4NH21 Amzn.com/bill WA        04/30",-29.98,DEBIT_CARD,3855.65,,
DEBIT,04/30/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:042926 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000286700933 EED:260430   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1206700933TC",-535.66,ACH_DEBIT,3885.63,,
DEBIT,04/30/2026,"AMAZON MKTPL*BS8UK9S Amzn.com/bill WA        04/30",-83.66,DEBIT_CARD,4421.29,,
DEBIT,04/30/2026,"AMAZON MKTPL*BS3DB16 Amzn.com/bill WA        04/30",-43.54,DEBIT_CARD,4504.95,,
DEBIT,04/30/2026,"Amazon.com*BJ7D743I1 Amzn.com/bill WA        04/30",-16.74,DEBIT_CARD,4548.49,,
DEBIT,04/30/2026,"KLARNA* ADIDAS US KLARNA.COM OH              04/30",-91.93,DEBIT_CARD,4565.23,,
DEBIT,04/30/2026,"MCF NA CONNECTEDFLEE GA                      04/29",-85.85,DEBIT_CARD,4657.16,,
DEBIT,04/30/2026,"MCF NA CONNECTEDFLEE GA                      04/29",-85.85,DEBIT_CARD,4743.01,,
DEBIT,04/30/2026,"MCF NA CONNECTEDFLEE GA                      04/29",-85.85,DEBIT_CARD,4828.86,,
DEBIT,04/30/2026,"MCF NA CONNECTEDFLEE GA                      04/29",-85.85,DEBIT_CARD,4914.71,,
DEBIT,04/30/2026,"AMI MAGAZINE 718-534-8800 NJ                 04/29",-29.99,DEBIT_CARD,5000.56,,
DEBIT,04/30/2026,"NYCDOT PARKNYC 212-748-6680 NY               04/30",-100.05,DEBIT_CARD,5030.55,,
DEBIT,04/30/2026,"VBS*VONAGE BUSINESS 866-901-0242 GA          04/29",-107.00,DEBIT_CARD,5130.60,,
